Categoria,Nombre del Articulo,Autor(es),Pais,Año publicacion,Cantidad de citas,Tipo documento,DOI,Revista/Conferencia,Volumen,Numero,Paginas,URL,Editorial,Palabras Indexadas,Resumen 3 lineas,Justificación categoría
Micro,Research on Enterprise Security Operation Based on Large Model Technology,Li L.; Wang T.; An Q.; Dong J.,China,2025,0,Conferencia,10.1145/3773365.3773614,"Proceedings of 2025 8th International Conference on Computer Information Science and Artificial Intelligence, CISAI 2025",,,1587-1593,https://www.scopus.com/pages/publications/105026341399?origin=resultslist,"Association for Computing Machinery, Inc","Graph Analysis Technology, Large Model Technology, Security Operation, The Multimodal Parsing, Artificial intelligence, Data privacy, Information management, Network security, Security systems, Enterprise security, Graph analysis, Graph analyze technology, Large models, Modeling technology, Security operation center, Security operations, Cost effectiveness, enterprise, incident response, soc","With the continuous evolution of cyber threats and the growing complexity of enterprise IT infrastructures, traditional Security Operations Centers (SOCs) face challenges such as alert overload, talent shortages, and the limitations of rule-based engines. Large-model technology (LMT) provides a new pathway toward intelligent and automated security operations. This study analyzes key techniques - including the Transformer architecture, the pre-training and fine-tuning paradigm, and multimodal learning - and validates their effectiveness through practical case studies in industries such as finance and manufacturing.","Clasificado como Micro por coincidencias en metadatos: model, models, artificial intelligence, transformer, detection."
Micro,Evaluating Human-Machine Interaction Paradigms for Effective Human-Artificial Intelligence Collaboration in Cybersecurity,Malatji M.,South Africa,2024,2,Conferencia,10.1109/ICICYTA64807.2024.10913015,"2024 International Conference on Intelligent Cybernetics Technology and Applications, ICICyTA 2024",,,1268-1272,https://www.scopus.com/pages/publications/105001661286?origin=resultslist,Institute of Electrical and Electronics Engineers Inc.,"AI in cybersecurity, automated security, cybersecurity operations, human-AI teaming, human-machine interaction (HMI), incident response, Risk management, Artificial intelligence in cybersecurity, Cyber security, Cybersecurity operation, Human machine interaction, Human-artificial intelligence teaming, Human-machine interaction, Interaction paradigm, Decision making, management, detection, threat detection","This paper examines the efficacy of various Human-Machine Interaction (HMI) paradigms in enhancing cybersecurity practices through human-artificial intelligence (AI) collaboration. As cyber threats grow increasingly sophisticated, organisations are turning to AI to bolster their defence mechanisms, threat detection, incident response, and overall security management. Six HMI paradigms are analyzed: Humans in the Loop (HITL), Humans on the Loop (HOTL), Humans out of the Loop (HOOTL), Humans alongside the Loop (HATL), Humans-in-command (HIC), and Coactive Systems.","Clasificado como Micro por coincidencias en metadatos: artificial intelligence, detection, threat detection."
Micro,Generative Artificial Intelligence and Cybersecurity Risks: Implications for Healthcare Security Based on Real-life Incidents,Sallam M.; Al-Mahzoum K.; Sallam M.,United Arab Emirates,2024,13,Artículo,10.58496/MJAIH/2024/019,Mesopotamian Journal of Artificial Intelligence in Healthcare,2024,,184-203,https://www.scopus.com/pages/publications/105020297769?origin=resultslist,Mesopotamian Academic Press,"Cybersecurity, Health care, Privacy, Risk, Threat, impact, governance, incident response, algorithms, artificial intelligence","Background: The potential of generative artificial intelligence (genAI) tools, such as ChatGPT, is being increasingly explored in healthcare settings. However, the same tools also introduce significant cybersecurity risks that could compromise patient safety, data integrity, and institutional trust. This study aimed to examine real-world security breaches involving genAI and extrapolate their potential implications for healthcare settings.","Clasificado como Micro por coincidencias en metadatos: artificial intelligence, algorithms."
Micro,Data-Driven Intelligence Can Revolutionize Today’s Cybersecurity World: A Position Paper,Sarker I.H.; Janicke H.; Maglaras L.; Camtepe S.,United Kingdom,2024,1,Conferencia,10.1007/978-3-031-48855-9_23,Communications in Computer and Information Science,1936,,302-316,https://www.scopus.com/pages/publications/85181978743?origin=resultslist,Springer Science and Business Media Deutschland GmbH,"AI, Augmenting Experts Knowledge, Automation, Cybersecurity, Data-Driven Intelligence, Human Assistance, Machine Learning, Decision making, Predictive analytics, Augmenting expert knowledge, Cyber security, Cyber threats, Data driven, Decisions makings, Expert knowledge, Machine-learning, Position papers, incident response, detection, threat detection","As cyber threats evolve and grow progressively more sophisticated, cyber security is becoming a more significant concern in today’s digital era. Traditional security measures tend to be insufficient to defend against these persistent and dynamic threats because they are mainly intuitional. One of the most promising ways to handle this ongoing problem is utilizing the potential of data-driven intelligence, by leveraging AI and machine learning techniques.","Clasificado como Micro por coincidencias en metadatos: machine learning, detection, threat detection."
Micro,A Machine Learning Approach to Detection of Critical Alerts from Imbalanced Multi-Appliance Threat Alert Logs,Ndichu S.; Ban T.; Takahashi T.; Inoue D.,Japan,2021,19,Conferencia,10.1109/BigData52589.2021.9671956,"Proceedings - 2021 IEEE International Conference on Big Data, Big Data 2021",,,2119-2127,https://www.scopus.com/pages/publications/85125346905?origin=resultslist,Institute of Electrical and Electronics Engineers Inc.,"alert fatigue, alert screening, Class imbalance, data cleaning, machine learning, oversampling, Information management, Intrusion detection, Random forests, Support vector machines, Alert data, Machine learning approaches, Network intrusion detection systems, Over sampling, Securities analysts, Security alerts, Decision trees, management, incident response, process",The extraordinary number of alerts generated by network intrusion detection systems (NIDS) can desensitize security analysts tasked with incident response. Security information and event management systems (SIEMs) perform some rudimentary automation but cannot replicate the decision-making process of a skilled analyst. Machine learning and artificial intelligence (AI) can detect patterns in data with appropriate training.,"Clasificado como Micro por coincidencias en metadatos: machine learning, detection, artificial intelligence, intrusion detection, random forest, support vector machine."
Micro,Automation Bias and Complacency in Security Operation Centers,Tilbury J.; Flowerday S.,United States,2024,6,Artículo,10.3390/computers13070165,Computers,13,7,165,https://www.scopus.com/pages/publications/85199625999?origin=resultslist,Multidisciplinary Digital Publishing Institute (MDPI),"artificial intelligence, automation, automation bias, automation complacency, decision support systems, human-in-the-loop, machine learning, security analyst, security operation center, incident response, soc, processes, detection","The volume and complexity of alerts that security operation center (SOC) analysts must manage necessitate automation. Increased automation in SOCs amplifies the risk of automation bias and complacency whereby security analysts become over-reliant on automation, failing to seek confirmatory or contradictory information. To identify automation characteristics that assist in the mitigation of automation bias and complacency, we investigated the current and proposed application areas of automation in SOCs and discussed its implications for security analysts.","Clasificado como Micro por coincidencias en metadatos: machine learning, artificial intelligence, detection."
Micro,Digital Safeguards: Unravelling the Complex Interplay Between Emerging Threats and Proactive Cyber Defence Strategies,Aladiyan A.,United States,2025,4,Artículo,10.58346/JISIS.2025.I1.022,Journal of Internet Services and Information Security,15,1,348-360,https://www.scopus.com/pages/publications/105002409456?origin=resultslist,Innovative Information Science and Technology Research Group,"AI, Anomaly Detection, Automation, Cybersecurity, Data Privacy, Ethical Considerations, Incident Response, Machine Learning, Predictive Analytics, Threat Detection, company, process, algorithms, models, artificial intelligence, detection","In the past few years, advanced cyber security capabilities have flourished via a new era of use in dangerous A.I. technologies rapidly developed strategies using dozens of different online risks to even more effectively prevent, detect, and respond prolifically. With digital infrastructures being the backbone of enterprises today, cyber-attacks have grown in complexity and sophistication over time to thrive as we know them now this effectively means that security frameworks would need AI after that.","Clasificado como Micro por coincidencias en metadatos: algorithms, models, machine learning, artificial intelligence, detection, threat detection."
Meso,On Cybersecurity Incident Response Decision Support System in Smart Grids,Sen O.; Mahjoob A.; Neumuller M.; Ulbig A.; Decker S.,Germany,2025,0,Conferencia,10.1109/SmartGridComm65349.2025.11204644,"2025 IEEE International Conference on Communications, Control, and Computing Technologies for Smart Grids, SmartGridComm 2025 - Proceedings",,,,https://www.scopus.com/pages/publications/105022116026?origin=resultslist,Institute of Electrical and Electronics Engineers Inc.,"Cyberattack, Cybersecurity, Decision Support System, Incident Response, Smart Grid, Artificial intelligence, Behavioral research, Computer crime, Decision making, Industrial management, Information management, Network security, User interfaces, Cyber security, Cyber-attacks, Decision supports, Decisions makings, Help systems, Modulars, Support systems","The growing complexity of control systems in smart grids has increased their vulnerability to cyber-attacks. In this paper, we introduce a modular decision support system to help system operators prioritize and select countermeasures following a cyber-incident. The proposed system combines attack graph analysis with multi-criteria decision-making techniques, enabling the evaluation of response actions based on customizable priorities such as cost, technical impact, and time required for deployment.","Clasificado como Meso por coincidencias en metadatos: incident response, management, decision making."
Meso,Human-centric Artificial Intelligence enabled Digital Images and Videos Forensic Triage,Li S.; Liu Y.,United Kingdom,2023,1,Conferencia,10.1109/HCCS59561.2023.10452651,"Proceedings - 2023 Human-Centered Cognitive Systems, HCCS 2023",,,,https://www.scopus.com/pages/publications/85187197721?origin=resultslist,Institute of Electrical and Electronics Engineers Inc.,"Artificial intelligence, Digital forensics, forensics triage, Image recognition and classification, Decision making, Electronic crime countermeasures, Image classification, Image recognition, Decisions makings, Digital image forensics, Digital system, Digital video forensics, Effectiveness and efficiencies, Forensic analysis, Forensic triage, Forensics investigators, Human-centric, Incident response, processes",Digital forensics and incident response (DFIR) involve huge volume of data collected from digital systems that requires investigators to quickly sift through and prioritise relevant evidence. The forensics investigator team faces many challenges when analysing the processes to keep them on target and improve them. A lack of a systematic approach to data analysis can lead to slower decision-making.,"Clasificado como Meso por coincidencias en metadatos: decision making, incident response, processes."
Micro,Hybrid LSTM-QEQ Framework for Enhanced Cyber Threat Detection and Response in Critical Power Grid Infrastructure,Shi J.; Wang H.; Lu G.; Wang M.; Jiang X.,China,2026,0,Artículo,10.1142/S021812662650091X,"Journal of Circuits, Systems and Computers",,,2650091,https://www.scopus.com/pages/publications/105030181838?origin=resultslist,World Scientific,"artificial intelligence, big data, cybersecurity, deep learning, Power grid, security warning, company, management, incident response, algorithms, model, detection, threat detection, framework, lstm","The rising multifaceted nature of cyber threats to critical Power Grid Infrastructure calls for new approaches in ensuring power systems resiliency and stability. Existing methods based on deep learning and predictive analysis have shown significant gains in the area of threat mitigation and response time. However, such approaches have been rendered limited in their scope by their lack of dynamic reaction to the shifts in cyberattack tactics, particularly in sequential and multi-dimensional settings.","Clasificado como Micro por coincidencias en metadatos: detection, threat detection, framework, lstm, algorithms, model."
